title,description,url,publishedAt,prediction,sentiment_score
Joey Lim coge la 'katana',"El último ejecutivo que ha llegado desde Singapur, Joey Lim, toma el mando desmontando el gabinete de comunicación del Valencia.",https://as.com/futbol/2020/10/21/primera/1603275336_939062.html,2020-10-21T10:19:17Z,neutral,-0.009515818
'Los cobradores del mariachi': así protestaron unos aficionados del Valencia contra Anil Murthy,"""A grandes males, grandes remedios"" es lo que habrán pensado unos aficionados del Valencia CF que han querido protestar contra la gestión de Meriton, pero...",https://www.20minutos.es/deportes/noticia/4424823/0/protesta-mariachi-aficionados-valencia-murthy/,2020-10-21T08:05:25Z,neutral,-0.27752143
The Pandemic Made Your Business Forecasts Sick. What’s The Cure?,"Shifts in global and local economies due to the Covid-19 pandemic and the discrepant, ever-changing national and local responses have rendered the rudimentary analytic models of many organizations useless, or worse—detrimental to the business.",https://www.forbes.com/sites/douglaslaney/2020/10/21/the-pandemic-made-your-business-forecasts-sick-whats-the-cure/,2020-10-21T04:34:59Z,negative,-0.9251033
Valencia fans hire a MARIACHI BAND to follow unpopular club directors as they protest against owners,Supporters are not able to vent their anger in stadiums due to current Covid-19 restrictions but found a unique way of getting their message across on Monday.,https://www.dailymail.co.uk/sport/football/article-8863601/Valencia-fans-hire-MARIACHI-BAND-follow-unpopular-club-directors-protest-against-owners.html,2020-10-21T12:36:25Z,neutral,-0.0053043216
Social attraction in Drosophila is regulated by the mushroom body and serotonergic system,"Robust social attraction in fruit flies relies on two prominent senses, vision and olfaction, which converge to central brain neurons. The neurons of the γ lobe of the mushroom bodies integrate sensory information and modulate social affinity.",https://www.nature.com/articles/s41467-020-19102-3?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+ncomms%2Frss%2Fcurrent+%28Nature+Communications+-+current%29,2020-10-22T00:00:00Z,neutral,0.05357203
D.J. Halli violence: Autorickshaw driver arrested,He had been absconding since August 11,https://www.thehindu.com/news/cities/bangalore/dj-halli-violence-autorickshaw-driver-arrested/article32910252.ece,2020-10-21T14:55:45Z,negative,-0.93310076
The biggest threat facing middle-age men isn’t smoking or obesity. It’s loneliness.,"As men grow older, they tend to let their friendships lapse. But there’s still time to do something about it.",https://www.bostonglobe.com/magazine/2017/03/09/the-biggest-threat-facing-middle-age-men-isn-smoking-obesity-loneliness/k6saC9FnnHQCUbf5mJ8okL/story.html,2020-10-21T14:59:19Z,neutral,0.07929632
Teladongo announces executive leadership team; MedCrypt adds cybersecurity veteran to board of directors; and more digital health hires,"Also: Zipari adds two to its leadership team, HealthJoy appoints CMO, DispatchHealth brings on two new hires and more.",https://www.mobihealthnews.com/news/teladongo-announces-executive-leadership-team-medcrypt-adds-cybersecurity-veteran-board,2020-10-21T17:07:08Z,neutral,0.25734454
Rudy Giuliani faces questions after compromising scene in new Borat film,"https://www.theguardian.com/film/2020/oct/21/rudy-giuliani-faces-questions-after-compromising-scene-in-new-borat-film?CMP=share_btn_tw 
 
The reputation of Rudy Giuliani could be set for a further blo ...",https://slickdeals.net/f/14457494-rudy-giuliani-faces-questions-after-compromising-scene-in-new-borat-film,2020-10-21T19:17:37Z,negative,-0.6410206
Kondogbia sigue fuera del grupo en penúltimo entrenamiento antes del Elche,"El centrocampista del Valencia Geoffery Kondogbia continúa al margen del grupo y no participó este miércoles en el penúltimo entrenamiento del equipo que dirige Javi Gracia antes de visitar este viernes al Elche.
El jugador lleva una semana sin...",https://www.mundodeportivo.com/futbol/valencia/20201021/484210925907/kondogbia-sigue-fuera-del-grupo-en-penultimo-entrenamiento-antes-del-elche.html,2020-10-21T10:35:09Z,neutral,-0.058890276
Kondogbia sigue presionando al Valencia para firmar por el Atlético,"Geoffery Kondogbia sigue presionando al Valencia para conseguir su objetivo: firmar por el Atlético de Madrid antes de que acabe el plazo extra que tuvo el club rojiblanco para fichar un sustituto de Thomas, el 5 de noviembre.
El jugador francés...",https://www.mundodeportivo.com/futbol/atletico-madrid/20201021/484210529236/kondogbia-sigue-presionando-al-valencia-para-firmar-por-el-atletico.html,2020-10-21T10:13:48Z,neutral,-0.014357798
A flexible method for optimising sharing of healthcare resources and demand in the context of the COVID-19 pandemic,"As the number of cases of COVID-19 continues to grow, local health services are at risk of being overwhelmed with patients requiring intensive care. We develop and implement an algorithm to provide optimal re-routing strategies to either transfer patients req…",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0241027,2020-10-21T17:50:35Z,neutral,0.3296231
