title,description,url,publishedAt,prediction,sentiment_score
"Bengaluru: Police nab accused in Chickpet daylight robbery case, hunt on for another","According to City Market Police, the accused, identified as Johnny (22), is a resident of Azad Nagar in the city. It also said that 100 grams of marijuana, a machete and a dagger were also recovered him.",https://indianexpress.com/article/cities/bangalore/chickpet-robbery-case-video-police-6853389/,2020-10-23T14:51:40Z,negative,-0.8764056
"Allegra Stratton, le nouveau visage de Downing Street",L’ex-journaliste va devenir la porte-parole du gouvernement de Boris Johnson. Sa mission : redresser le fort déficit d’image du premier ministre britannique. Un direct quotidien à la télévision devrait l’y aider.,https://www.lemonde.fr/m-le-mag/article/2020/10/23/allegra-stratton-le-nouveau-visage-de-downing-street_6057121_4500055.html,2020-10-23T11:43:48Z,neutral,0.016083313
GVMC Commissioner promises to provide hall to hold exhibitions,Award-winning news photographers felicitated,https://www.thehindu.com/news/cities/Visakhapatnam/gvmc-commissioner-promises-to-provide-hall-to-hold-exhibitions/article32933497.ece,2020-10-23T19:21:45Z,positive,0.74648255
AirBnB Just Cracked Down On COVID-19 With Mandatory Global Cleaning And Safety Protocols. Why Did It Take So Long?,"AirBnB, the world's largest short-term rental platform, finally got serious about the COVID-19 pandemic this month, instituting mandatory cleaning protocols, facial coverings, and social distancing for more than 6 million properties worldwide. Will it help to…",https://www.forbes.com/sites/petertaylor/2020/10/23/airbnb-just-cracked-down-on-covid-19-with-mandatory-global-cleaning-and-safety-protocols-why-did-it-take-so-long/,2020-10-23T20:35:57Z,positive,0.683989
"India’s UN journey, from outlier to the high table","As a non-permanent UNSC member now, it needs to uphold the Charter principles in the backdrop of a turbulent world",https://www.thehindu.com/opinion/lead/indias-un-journey-from-outlier-to-the-high-table/article32932905.ece,2020-10-23T17:50:13Z,positive,0.6916035
Bengaluru riots: Bail granted to MLA’s nephew,"The Karnataka high court has granted bail to P Naveen, the main accused in east Bengaluru violence case. Naveen, nephew of Akhanda Srinivas Murthy, MLA of Pulikeshinagar, was accused of posting derogatory content on his Facebook wall and hurting a community. …",https://timesofindia.indiatimes.com/city/bengaluru/bengaluru-riots-case-hc-grants-bail-to-mlas-nephew/articleshow/78819462.cms,2020-10-23T00:22:44Z,negative,-0.8656307
Kerala signs shareholders and State support pact for Kochi-Bengaluru Industrial Corridor,A special purpose vehicle will be formed for the detailed planning and management of the projects,https://www.thehindubusinessline.com/news/national/kerala-signs-shareholders-and-state-support-pact-for-kochi-bengaluru-industrial-corridor/article32926183.ece,2020-10-23T06:29:37Z,neutral,0.33967885
"Intel объяснила, почему держится за 14 нм, пока AMD осваивает 5 нм","В 2021 г. почти все свои процессоры Intel выпустит с использованием старой 14-нанометровой топологии. Она не спешит с полным переходом на 10 нм, поскольку этот техпроцесс выкачивает из нее деньги, тогда как 14 нм уже давно окупился и приносит прибыль. Тем вре…",https://www.cnews.ru/news/top/2020-10-23_intel_obyasnilapochemu_ona,2020-10-23T09:20:00Z,neutral,-0.012613162
Industry Execs Discuss Innovating Technological Landscape With Remote Production,"Prominent media technologists discussed how the pandemic has altered their content flow as distribution platforms for digital entertainment see increased viewership. Presented by Western Digital, Variety hosted the Innovators in Media Technology Management, a…",https://variety.com/2020/digital/news/industry-execs-discuss-innovating-technological-landscape-remote-production-1234813805/,2020-10-23T16:08:09Z,neutral,0.054340366
"A national cross-sectional survey of public perceptions of the COVID-19 pandemic: Self-reported beliefs, knowledge, and behaviors",Introduction Efforts to mitigate the global spread of the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) causing Corona Virus Disease-19 (COVID-19) have largely relied on broad compliance with public health recommendations yet navigating the hig…,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0241259,2020-10-23T17:50:09Z,neutral,0.0788151
