title,description,url,publishedAt,prediction,sentiment_score
Half the Great Barrier Reef’s Coral has Died in the Past 25 Years,Experts are blaming human-induced climate change and mass bleaching events for the devastating loss of the world's largest coral reef.,https://www.vice.com/en/article/5dzn73/half-great-barrier-reef-died-in-past-25-years,2020-10-15T02:50:03Z,negative,-0.8237935
Adani Green-Total joint venture reaches more than 2.3GW of operating solar,"A newly formed joint venture (JV) between Adani Green Energy and Total has increased its operating solar portfolio to 2,353MW after securing additional assets in India.",https://www.pv-tech.org/news/adani-green-total-joint-venture-reaches-more-than-2.3gw-of-operating-solar,2020-10-15T12:22:00Z,positive,0.92599785
"Adani Green transfers 205 MW solar assets to Total JV for ₹1,632 crore","Move takes total operating renewable portfolio under JV to 2,353 MW",https://www.thehindubusinessline.com/companies/adani-green-transfers-205-mw-solar-assets-to-total-jv-for-1632-crore/article32862301.ece,2020-10-15T11:33:58Z,neutral,0.43672478
"Adani Green-TOTAL JV acquires Essel's solar assets for Rs 1,632 crore","Adani Green Energy Limited (AGEL) had earlier acquired these assets from Essel Group on October 1, 2020",https://www.businesstoday.in/current/corporate/adani-green-total-jv-acquires-essel-solar-assets-for-rs-1632-crore/story/419005.html,2020-10-15T09:05:42Z,neutral,0.4378749
Adani Green-Total JV takes over Essel's solar assets acquired by Adani earlier,“We are delighted to expand our partnership with TOTAL and are committed to grow our renewables JV platform with them. This step is in line with our ambition of achieving 25 gigawatts of renewable power capacity by 2025 and becoming the world’s largest renewa…,https://economictimes.indiatimes.com/industry/energy/power/adani-green-total-jv-takes-over-essels-solar-assets-acquired-by-adani-earlier/articleshow/78677080.cms,2020-10-15T07:55:18Z,positive,0.8708227
"Taking Stock: Rs 3 lakh crore in m-cap gone as Sensex drops 1,000 pts","Sectorally, the selling pressure was seen in sectors like Teleco, Banks, Energy, IT, as well as Realty index. The Nifty Bank slipped 802 points to close at 23,072.",https://www.moneycontrol.com/news/business/markets/taking-stock-rs-3-lakh-crore-in-m-cap-gone-as-sensex-drops-1000-pts-5968081.html,2020-10-15T11:09:28Z,negative,-0.9606214
"Adani Green transfers 205 MW solar assets to JV with Total for Rs 1,632 cr","Adani Green Energy Ltd (AGEL) on Thursday said it has transferred 205 MW solar assets to its JV business with French energy major Total SA for about Rs 1,632 crore",https://www.business-standard.com/article/companies/adani-green-transfers-205-mw-solar-assets-to-jv-with-total-for-rs-1-632-cr-120101500663_1.html,2020-10-15T08:50:00Z,neutral,0.07956843
Adani Green transfers newly acquired Essel solar assets to TOTAL JV,"The JV company has completed this transfer of the assets at an enterprise valuation of Rs 1,632 crore",https://www.business-standard.com/article/companies/adani-green-transfers-newly-acquired-essel-solar-assets-to-total-jv-120101500826_1.html,2020-10-15T09:39:00Z,neutral,0.13217688
What changed for the market while you were sleeping? Top 10 things to know,Trends on SGX Nifty indicate a positive opening for the index in India with a 30 points gain.,https://www.moneycontrol.com/news/business/markets/what-changed-for-the-market-while-you-were-sleeping-top-10-things-to-know-307-5964891.html,2020-10-15T02:15:21Z,positive,0.8868617
Para ver jugar a Pedri vale la pena conectar la televisión,"Olvídense que tiene 17 años, olvídense que le costó 5 millones al Barça y disfruten del talento de 
 Pedri
 . El martes por la tarde, España y Kazajistán jugaban el partido clasificatorio para el Europeo sub-21. De entrada, 
 Luis de...",https://www.mundodeportivo.com/futbol/fc-barcelona/20201015/484086682654/para-ver-jugar-a-pedri-vale-la-pena-conectar-la-television.html,2020-10-15T05:00:00Z,neutral,0.009508841
"Sensex drops 220 points on weak global cues; Nifty tests 11,900","Bluechip indices have rallied for 10 straight days, the biggest rally in 13 years, and have shown signs of fatigue in the last few days.",https://economictimes.indiatimes.com/markets/stocks/news/sensex-drops-220-points-on-weak-global-cues-nifty-tests-11900/articleshow/78674278.cms,2020-10-15T04:59:10Z,negative,-0.29682174
China tightens the screws on Australian coal imports,"Some Chinese energy providers have been told to stop importing Australian coal amidst trade tensions between our countries, writes Professor John Quiggin.

THE ANNOUNCEMENT that the Chinese Government has ordered a number of State-owned enterprises to stop bu…","https://independentaustralia.net/politics/politics-display/china-tightens-the-screws-on-australian-coal-imports,14410",2020-10-15T05:30:00Z,negative,-0.91766053
Ahead of Market: 12 things that will decide stock action on Friday,"Mazhar Mohammad of Chartviewindia.in said, in the next session, if Nifty slips below 11,661 levels, then the slide shall continue towards its initial target placed in the zone of 11,495–400 levels.",https://economictimes.indiatimes.com/markets/stocks/news/ahead-of-market-12-things-that-will-decide-stock-action-on-friday/articleshow/78685923.cms,2020-10-15T15:39:18Z,negative,-0.56951207
