title,description,url,publishedAt,prediction,sentiment_score
"Stocks to Watch: HUL, Hindustan Copper, PSUs, L&T - Mint","<ol><li>Stocks to Watch: HUL, Hindustan Copper, PSUs, L&T  Mint
</li><li>Top headlines: Govt may sell Hind Copper; L&T set to board the bullet train  Business Standard
</li><li>View Full coverage on Google News</li></ol>",https://www.livemint.com/market/stock-market-news/stocks-to-watch-hul-hindustan-copper-psus-l-t-11603158084550.html,2020-10-20T02:20:30Z,neutral,-0.122596376
Consistent performers: These 11 stocks rallied 20-140% in December quarter of last 3 years,"Stocks that gave double-digit returns consistently in the last quarter of the previous three calendar years include names like DB Realty, GMM Pfaudler, Dolat Investments, Alkyl Amines, Manappuram Finance etc.",https://www.moneycontrol.com/news/business/markets/consistent-performers-these-11-stocks-rallied-20-140-in-december-quarter-of-last-3-years-5978391.html,2020-10-20T04:30:44Z,positive,0.70544004
"Sidhu model to tide over farm crisis: MSP on all crops, mafia crackdown","Hours after his appearance in the special session of Vidhan Sabha, Navjot Singh Sidhu, in his 31-minute speech on his YouTube channel, Jittega Punjab, asked his party’s government to take responsibility, stop looking at Centre for MSP and have its own resourc…",https://indianexpress.com/article/cities/chandigarh/sidhu-model-to-tide-over-farm-crisis-msp-on-all-crops-mafia-crackdown-6800833/,2020-10-20T06:17:26Z,neutral,0.06440939
"US-based Oaktree offers Rs 20k-cr for DHFL, Piramal, Adani also in fray","Piramal offers Rs 15,000 cr for retail book, Adani offers Rs 3,000 cr for SRA, construction fin books",https://www.business-standard.com/article/companies/us-based-oaktree-offers-rs-20k-cr-for-dhfl-piramal-adani-also-in-fray-120102001387_1.html,2020-10-20T15:40:00Z,neutral,0.005999543
Digital X-Ray Market Size to Reach Revenues of over USD 17 Billion by 2025 - Arizton,In-depth analysis and data-driven insights on the impact of COVID-19 included in this global digital x-ray market report.,https://news.yahoo.com/digital-x-ray-market-size-140000632.html,2020-10-20T14:00:00Z,neutral,0.1681689
Communist leader Maruti Manpade passes away,"Senior Communist leader Maruti Manpade, 65, died at a private hospital in Solapur, Maharashtra, on Tuesday. He is survived by a wife and two sons.Mr. Manpade was, for the last two weeks, suffering fro",https://www.thehindu.com/news/national/karnataka/communist-leader-maruti-manpade-passes-away/article32899452.ece,2020-10-20T08:31:40Z,negative,-0.7766161
"Kapil Wadhawan offers Rs 43,000 crore family assets to repay DHFL lenders",Kapil Wadhawan wrote to RBI-appointed administrator R Subramaniakumar on October 17 saying his offer would ensure maximum value for the assets that have been put on the block to repay loans.,https://www.moneycontrol.com/news/india/kapil-wadhawan-offers-rs-43000-crore-family-assets-to-repay-dhfl-lenders-5986161.html,2020-10-20T05:04:14Z,positive,0.5775253
Indices open flat; IT stocks trade in green,Indian equities opened lower on Tuesday in line with its Asian peers as investors adjusted risk exposure heading into the US election and as a deadline for Washington to pass an economic stimulus bill,https://www.thehindubusinessline.com/markets/stock-markets/indices-open-flat-it-stocks-trade-in-green/article32897870.ece,2020-10-20T03:55:15Z,negative,-0.9667716
"Kapil Wadhwan offers family properties worth Rs 43,000 cr to repay DHFL lenders","The valuation of these projects including Juhu Galli project and Irla project are about Rs 43,879 crore that to at a 15 per cent lesser market value",https://www.businesstoday.in/current/corporate/kapil-wadhwan-offers-family-properties-worth-rs-43000-cr-to-repay-dhfl-lenders/story/419416.html,2020-10-20T02:57:55Z,neutral,0.06540975
Digital X-Ray Market Size to Reach Revenues of over USD 17 Billion by 2025 - Arizton,"CHICAGO, Oct. 20, 2020 /PRNewswire/ -- In-depth analysis and data-driven insights on the impact of COVID-19 included in this global digital x-ray market report. The global digital x-ray market size is expected to grow at a CAGR of over 7% during the period 20…",https://www.prnewswire.com/news-releases/digital-x-ray-market-size-to-reach-revenues-of-over-usd-17-billion-by-2025--arizton-301155826.html,2020-10-20T14:00:00Z,positive,0.90425575
