title,description,url,publishedAt,prediction,sentiment_score
Analysis: Imported tortillas? Big Mexican farmers fear cuts will hit harvests - Reuters,"Mexico's most productive farmers fear they may not be able to meet growing demand after state funding cuts, warning of a rising reliance on imports of the white corn used for staples such as tortillas and tamales.",https://www.reuters.com/article/us-mexico-agriculture-analysis-idUSKBN2701N4,2020-10-15T12:04:00Z,negative,-0.9536781
Imported tortillas? Big Mexican farmers fear cuts will hit harvests - Reuters,"Mexico's most productive farmers fear they may not be able to meet growing demand after state funding cuts, warning of a rising reliance on imports of the white corn used for staples such as tortillas and tamales.",https://www.reuters.com/article/mexico-agriculture-idUSKBN2701PG,2020-10-15T12:29:00Z,negative,-0.9564888
Imported tortillas? Big Mexican farmers fear cuts will hit harvests - Reuters India,"Mexico's most productive farmers fear they may not be able to meet growing demand after state funding cuts, warning of a rising reliance on imports of the white corn used for staples such as tortillas and tamales.",https://in.reuters.com/article/mexico-agriculture-idINKBN2701PG,2020-10-15T12:31:00Z,negative,-0.95500946
Tata Group looking for stake in IPO-bound online grocer BigBasket - report - Reuters India,"Salt-to-software conglomerate Tata Group is in talks with Indian online grocery startup BigBasket to buy a stake in the company, the Mint newspaper reported, citing people familiar with the matter.",https://in.reuters.com/article/tata-group-bigbasket-india-idINKBN2700IH,2020-10-15T05:25:00Z,neutral,0.34559017
Tata Group looking for stake in IPO-bound online grocer BigBasket - report - Reuters.com,"Salt-to-software conglomerate Tata Group is in talks with Indian online grocery startup BigBasket to buy a stake in the company, the Mint newspaper reported, citing people familiar with the matter.",https://in.reuters.com/article/tata-group-bigbasket-india-idUSKBN2700IH,2020-10-15T05:23:00Z,neutral,0.13387233
Govt may allow Indian cos to list in 7 nations,"Paving the way for a global listing by the likes of Reliance Jio, LIC and Indian start-ups, the government is set to notify seven countries and the Gujarat International Finance-Tec (GIFT) City where these companies can go public, while easing several norms t…",https://timesofindia.indiatimes.com/business/india-business/indian-companies-may-get-nod-to-list-in-7-countries/articleshow/78689690.cms,2020-10-15T18:55:43Z,positive,0.7860842
Focusing on Firearms Proves Contentious in Struggle to Reduce Veterans’ Suicides,The gun control debate complicated an effort to encourage frank talk by health professionals about the risks posed by firearms.,https://www.nytimes.com/2020/10/15/us/veterans-suicides-guns-firearms.html,2020-10-15T09:00:28Z,neutral,-0.037883386
Tata Group looking to buy stake in IndiaMart: Report,"Tata Group, which owns Jaguar Land Rover and tea maker Tetley, is scouting for local e-commerce assets at a time when the race for Indian online shoppers is heating up.",https://indianexpress.com/article/business/companies/tata-group-looking-to-buy-stake-in-indiamart-report-6737181/,2020-10-15T08:10:48Z,neutral,0.09274319
Bollywood stays away as Indian cinemas reopen after eight months - Reuters,"Movie theatres in some parts of India will open for the first time in eight months on Thursday, but with no major Bollywood releases likely any time soon, beleaguered cinema owners worry if audiences will be lured back to the big screen.",https://www.reuters.com/article/health-coronavirus-india-entertainment-idUSKBN2700OO,2020-10-15T06:43:00Z,negative,-0.78444535
Bollywood stays away as Indian cinemas reopen after eight months - Reuters India,"Movie theatres in some parts of India will open for the first time in eight months on Thursday, but with no major Bollywood releases likely any time soon, beleaguered cinema owners worry if audiences will be lured back to the big screen.",https://in.reuters.com/article/health-coronavirus-india-entertainment-idINKBN2700OO,2020-10-15T06:45:00Z,negative,-0.811963
