title,description,url,publishedAt,prediction,sentiment_score
LTI USD revenues grow 11.2% YoY; Net Profit up 26.7% YoY,"Larsen & Toubro Infotech (BSE code: 540005) (NSE: LTI), a global technology consulting and digital solutions company, announced its Q2 FY21 results today.",https://news.yahoo.com/lti-usd-revenues-grow-11-175200060.html,2020-10-20T17:52:00Z,positive,0.9384544
LTI USD revenues grow 11.2% YoY; Net Profit up 26.7% YoY,"Larsen & Toubro Infotech (BSE code: 540005) (NSE: LTI), a global technology consulting and digital solutions company, announced its Q2 FY21 results today.",https://news.yahoo.com/lti-usd-revenues-grow-11-193900932.html,2020-10-20T19:39:00Z,positive,0.9384544
LTI USD revenues grow 11.2% YoY; Net Profit up 26.7% YoY,"MUMBAI, India, Oct. 20, 2020 /CNW/ -- Larsen & Toubro Infotech (BSE code: 540005) (NSE: LTI), a global technology consulting and digital solutions company, announced its Q2 FY21 results today.",https://finance.yahoo.com/news/lti-usd-revenues-grow-11-175200340.html,2020-10-20T17:52:00Z,positive,0.9349973
"Stocks in the news | HDFC Life Insurance, Texmaco Rail, JSW Energy, Britannia Industries, HFCL","ACC, MRPL, Bank of Baroda, Xelpmoc Design, JSW Steel, HFCL, Acrysil, KIOCL, ION Exchange (India), GNA Axles, Atul, Ramco Systems, are also among the stocks in focus today.",https://www.moneycontrol.com/news/photos/business/stocks/stocks-in-the-news/photos-hdfc-life-insurance-texmaco-rail-jsw-energy-britannia-industries-hfcl-5984641.html,2020-10-20T02:32:34Z,neutral,0.026045928
"Stocks in the news: HUL, L&T, Britannia, M&M, ACC and BPCL",Larsen & Toubro is close to bagging its largest order ever as it has emerged the lowest bidder to construct a significant part of the Ahmedabad-Mumbai bullet train project.,https://economictimes.indiatimes.com/markets/stocks/news/stocks-in-the-news-hul-lt-britannia-mm-acc-and-bpcl/articleshow/78759781.cms,2020-10-20T01:59:53Z,positive,0.85683423
"L&T Infotech net rises 26.7%, announces interim dividend of Rs 15 a share","Revenue of the Mumbai-headquartered IT services firm rose 16.6 per cent year-on-year to Rs 2,998.4 crore during the period under review",https://www.business-standard.com/article/companies/l-t-infotech-net-rises-26-7-announces-interim-dividend-of-rs-15-a-share-120102001450_1.html,2020-10-20T16:27:00Z,positive,0.92925215
"MARKET LIVE: SGX Nifty dips 40 points; HDFC Life, Britannia in focus","Catch all the live market updates here HUL, L&T Infotech, and Bombay Dyeing among companies set to report quarterly numbers today",https://www.business-standard.com/article/markets/market-live-markets-sensex-nifty-bse-nse-sgx-nifty-britannia-hul-120102000137_1.html,2020-10-20T02:20:00Z,neutral,-0.34834054
"Stocks to watch: Wipro, HUL, L&T, L&T Tech, Britannia, ACC, Sunteck Realty",Here's a list of stocks that may trade actively in today's session.,https://www.business-standard.com/article/markets/stocks-to-watch-wipro-hul-l-t-l-t-tech-britannia-acc-sunteck-realty-120102000167_1.html,2020-10-20T03:19:00Z,neutral,0.004937727
"Market Ahead, October 20: All you need to know before the opening bell","Today, a total of 26 companies including Hindustan Unilever, Larsen & Toubro Infotech, and Bombay Dyeing are scheduled to announce their quarterly earnings",https://www.business-standard.com/podcast/markets/market-ahead-october-20-all-you-need-to-know-before-the-opening-bell-120102000147_1.html,2020-10-20T02:06:00Z,neutral,0.07889537
What changed for the market while you were sleeping? Top 10 things to know,Trends on SGX Nifty indicate a negative opening for the index in India with a 43 points loss.,https://www.moneycontrol.com/news/business/markets/what-changed-for-the-market-while-you-were-sleeping-top-10-things-to-know-310-5984851.html,2020-10-20T02:11:27Z,negative,-0.96908754
"Stocks in news: Wipro, Britannia, M&M, HDFC Life, Hero MotoCorp, ACC","Stocks to watch today on October 20: Wipro, Britannia, M&amp;M, HDFC Life, Hero MotoCorp, ACC among others are the top stocks to watch out for in Tuesday's trading session",https://www.businesstoday.in/markets/stocks/stocks-to-watch-today-on-october-20-wipro-britannia-mm-hdfc-life-hero-motocorp-acc/story/419420.html,2020-10-20T03:41:24Z,neutral,0.19777822
LTI USD revenues grow 11.2% YoY; Net Profit up 26.7% YoY,"MUMBAI, India, Oct. 20, 2020 /PRNewswire/ -- Larsen & Toubro Infotech (BSE code: 540005) (NSE: LTI), a global technology consulting and digital solutions company, announced its Q2 FY21 results today. In US Dollars: Revenue at USD 404.5 million; increase of 3.…",https://prnmedia.prnewswire.com/news-releases/lti-usd-revenues-grow-11-2-yoy-net-profit-up-26-7-yoy-301156137.html,2020-10-20T17:52:00Z,positive,0.92473465
