title,description,url,publishedAt,prediction,sentiment_score
"COMUNICADO: Crecen los ingresos de LTI en dólares estadounidenses un 11,2% en su cifra de año en año (1)","- Crecen los ingresos de LTI en dólares estadounidenses un 11,2% en su cifra de año en año; los beneficios netos suben un 26,7% en su cifra de año en año BOMBAY, La India, 21 de octubre de 2020 /PRNewswire/ -- Larsen & Toubro Infotech (NSE: LTI), compañía de …",https://www.elconfidencialdigital.com/articulo/ultima-hora/comunicado-crecen-ingresos-lti-dolares-estadounidenses-112-cifra-ano-ano-1/20201021132129176014.html,2020-10-21T11:21:29Z,neutral,0.0021937117
"From Prabhat Dairy, Cipla to Hindustan Zinc: Stocks to Watch Today",Larsen & Toubro Infotech: The board of the company has given its nod for the merger of Syncordis Software Services and Ruletronics Systems with the company.,https://ca.sports.yahoo.com/news/prabhat-dairy-cipla-hindustan-zinc-051621278.html,2020-10-21T05:16:21Z,positive,0.6561069
Larsen & Toubro Infotech surges 6% on healthy September quarter results,The board declared first interim dividend for the financial year 2020-21 of Rs 15 per share of face value of Re 1 each,https://www.business-standard.com/article/markets/larsen-toubro-infotech-gains-6-on-healthy-q2-results-120102100494_1.html,2020-10-21T06:40:00Z,positive,0.8175386
"Post strong Q2 show, L&T Infotech hopeful of meeting margin, revenue goals","After a sharp increase in profit margins for the September quarter, Larsen & Toubro Infotech, the IT arm of engineering major L&T, is now confident of achieving its 14-15 per cent net income margin target, its chief executive Sanjay Jalona said on Wednesday.
…",https://www.business-standard.com/article/companies/post-strong-q2-show-l-t-infotech-hopeful-of-meeting-margin-revenue-goals-120102101643_1.html,2020-10-21T17:52:00Z,positive,0.93355
LTILTI、ドル建て売上高が前年同期比11.2%増、純利益は26.7%増,AsiaNet 86204 （1908） 【ムンバイ（インド）2020年10月21日PRNewswire ＝共同通信JBN】世界的な技術コンサルティング・デジタルソリューション企業のLarsen & Toubro Infotech（BSE: 540005）（NSE: LTI）は、2021会計年度第2四半期の決算を発表した。▽米ドル・ベース＊売上高は4億450万米ドル；前期比3.6%増...,https://japan.cnet.com/release/30486638/,2020-10-21T07:37:00Z,neutral,0.07896605
Stock market update: MidCap stocks rise; Godrej Properties leaps 7%,The S&P BSE MidCap index was trading 0.87 per cent up at 14903.78.,https://economictimes.indiatimes.com/markets/stocks/news/stock-market-update-midcap-stocks-rise-godrej-properties-leaps-7nbsp/articleshow/78783536.cms,2020-10-21T06:26:02Z,positive,0.28766364
"Post strong Q2 show, LTI confident of meeting margin, revenue goals: CEO","The company feels the demand environment has changed for the better as companies adjust to the new realities, and hence it is confident of maintaining the revenue growth as well, he said.",https://economictimes.indiatimes.com/markets/stocks/earnings/post-strong-q2-show-lti-confident-of-meeting-margin-revenue-goals-ceo/articleshow/78795686.cms,2020-10-21T17:49:37Z,positive,0.9108395
"Crecen los ingresos de LTI en dólares estadounidenses un 11,2% en su cifra de año en año","- Crecen los ingresos de LTI en dólares estadounidenses un 11,2% en su cifra de año en año; los beneficios netos suben un 26,7% en su cifra de año en año BOMBAY, La India, 21 de octubre de 2020 /PRNewswire/ -- Larsen & Toubro Infotech (código BSE: 540005) (NS…",https://www.prnewswire.com/news-releases/crecen-los-ingresos-de-lti-en-dolares-estadounidenses-un-11-2-en-su-cifra-de-ano-en-ano-856276879.html,2020-10-21T13:11:00Z,neutral,-0.0162974
"Los ingresos de LTI en dólares estadounidenses crecen un 11,2 % con una utilidad neta de hasta el 26,7 % interanual","MUMBAI, India, 21 de octubre de 2020 /PRNewswire/ -- Larsen & Toubro Infotech (código BSE: 540005) (NSE: LTI), una empresa global de consultoría tecnológica y soluciones digitales, anunció hoy sus resultados para el segundo trimestre para el año fiscal 2021. …",https://www.prnewswire.com/news-releases/los-ingresos-de-lti-en-dolares-estadounidenses-crecen-un-11-2-con-una-utilidad-neta-de-hasta-el-26-7-interanual-898219591.html,2020-10-21T14:41:00Z,neutral,-0.0489735
"Crecen los ingresos de LTI en dólares estadounidenses un 11,2% en su cifra de año en año","- Crecen los ingresos de LTI en dólares estadounidenses un 11,2% en su cifra de año en año; los beneficios netos suben un 26,7% en su cifra de año en año BOMBAY, La India, 21 de octubre de 2020 /PRNewswire/ -- Larsen & Toubro Infotech (código BSE: 540005) (NS…",https://prnmedia.prnewswire.com/news-releases/crecen-los-ingresos-de-lti-en-dolares-estadounidenses-un-11-2-en-su-cifra-de-ano-en-ano-856276879.html,2020-10-21T13:11:00Z,neutral,-0.0162974
